Ýlçe, Mahalle, Net Metrekare, Oda Sayýsý, Bulunduðu Kat, Isýtma Tipi, Eþya Durumu, Konut Tipi, Brüt Metrekare, Bina Yaþý, Binanýn Kat Sayýsý, Site Ýçerisinde, Fiyat
Esenyurt , Barbaros Hayrettin Paþa Mahallesi,65,1+1,17,Klimalý,Eþyalý,Residence,85,3,31,Evet,20000
Pendik , Fatih Mahallesi,80,2+1,4,Kombi Doðalgaz,Boþ,Daire,90,15,5,Hayýr,15000
Pendik , Esenler Mahallesi,105,3+1,6,Yerden Isýtma,Boþ,Daire,120,0,8,Hayýr,26000
Pendik , Kaynarca Mahallesi,110,3+1,1,Kombi Doðalgaz,Boþ,Daire,120,15,6,Hayýr,22500
Pendik , Kurtköy Mahallesi,80,2+1,5,Kombi Doðalgaz,Boþ,Daire,90,4,8,Hayýr,26000
Pendik , Dumlupýnar Mahallesi,95,2+1,4,Kombi Doðalgaz,Boþ,Daire,110,20,4,Hayýr,15000
Pendik , Kavakpýnar Mahallesi,70,2+1,0,Doðalgaz Sobalý,Boþ,Daire,80,25,3,Hayýr,8000
Pendik , Batý Mahallesi,100,3+1,1,Merkezi Doðalgaz,Boþ,Daire,125,0,6,Hayýr,33000
Pendik , Ahmet Yesevi Mahallesi,110,3+1,2,Kombi Doðalgaz,Boþ,Daire,120,15,4,Hayýr,17000
Pendik , Doðu Mahallesi,85,3+1,8,Merkezi Doðalgaz,Boþ,Daire,95,25,10,Hayýr,24500
Pendik , Çamçeþme Mahallesi,130,3+1,1,Kombi Doðalgaz,Boþ,Daire,145,25,4,Hayýr,17500
Pendik , Güllü Baðlar Mahallesi,100,3+1,4,Kombi Doðalgaz,Boþ,Daire,120,4,8,Hayýr,25250
Pendik , Kavakpýnar Mahallesi,130,3+1,3,Kombi Doðalgaz,Boþ,Daire,150,15,4,Hayýr,18250
Pendik , Kavakpýnar Mahallesi,60,2+1,4,Kombi Doðalgaz,Boþ,Daire,80,15,4,Hayýr,17250
Pendik , Kavakpýnar Mahallesi,120,3+1,2,Kombi Doðalgaz,Boþ,Daire,130,20,3,Hayýr,13500
Pendik , Çamçeþme Mahallesi,80,2+1,2,Kombi Doðalgaz,Boþ,Daire,90,4,5,Hayýr,18000
Pendik , Velibaba Mahallesi,70,2+1,Müstakil,Kombi Doðalgaz,Boþ,Daire,100,25,2,Hayýr,9500
Pendik , Kavakpýnar Mahallesi,120,3+1,2,Sobalý,Boþ,Daire,140,20,4,Hayýr,10000
Pendik , Kavakpýnar Mahallesi,75,2+1,0,Kombi Doðalgaz,Boþ,Daire,80,20,3,Hayýr,9250
Pendik , Kavakpýnar Mahallesi,90,2+1,5,Kombi Doðalgaz,Boþ,Daire,100,4,7,Hayýr,20000
Pendik , Kavakpýnar Mahallesi,105,3+1,1,Kombi Doðalgaz,Boþ,Hayýr,Daire,120,0,5,22000
Pendik , Sapan Baðlarý Mahallesi,105,2+1,1,Kombi Doðalgaz,Boþ,Daire,125,15,3,Hayýr,24200
